Available,Discontinued,Product
0.906,0.094,Dell Inspiron 13 5378 2-in-1 
0.954,0.046,Dell Inspiron 3520 Desktop Computer
0.904,0.096,"Dell Alienware 15 15.6"" Gaming Laptop "
0.88,0.12,Dell Vostro 3000 
0.896,0.104,XPS 13 Laptop
0.844,0.156,Latitude Dell 5175 Tablet
0.702,0.298,DELL Inspiron 7570 15.6-inch FHD Laptop
0.87,0.13,DELL Inspiron 7570 15.6-inch FHD Laptop
0.864,0.136,New Inspiron 22 3275 All-in-One
0.9,0.1,Dell G7 15 Gaming Laptop
0.96,0.04,Dell G5 15 Gaming Laptop
0.976,0.024,Dell G3 15 Gaming Laptop
0.992,0.008,Dell 24 UltraSharp Monitor
0.952,0.048,Dell G3 15 Gaming Laptop
0.858,0.142,Dell 27 Monitor
0.69,0.31,Dell G3 15 Gaming Laptop
0.978,0.022,Dell Precision M5510 WorkStation Laptop
0.87,0.13,New Inspiron 15 5570 Laptop
0.542,0.458,New Inspiron 15 5570 Laptop
0.928,0.072,New Inspiron 15 5570 Laptop
0.83,0.17,DELL Inspiron 7570 15.6-inch FHD Laptop
0.478,0.522,Dell G5 15 Gaming Laptop
0,1,"Dell Alienware 15 15.6"" Gaming Laptop "
0,1,XPS 8920 Desktop Tower
0,1,Dell Venue 7 3741 Tablet 
0,1,Dell G5 15 Gaming Laptop
0,1,Dell Inspiron 13 5378 2-in-1 
0.898,0.102,Dell Inspiron 13 5378 2-in-1 
0.376,0.624,Dell 24 UltraSharp Monitor
0.392,0.608,"Dell Alienware 15 15.6"" Gaming Laptop "
0.972,0.028,Dell Precision M5510 WorkStation Laptop
0.972,0.028,Dell G5 15 Gaming Laptop
0.996,0.004,Dell 24 UltraSharp Monitor
0.792,0.208,Dell G Series G7 7588 15.6-inch FHD Laptop
0.89,0.11,Dell Vostro 3000 
0.968,0.032,Inspiron 27 7000 All-in-One
0.984,0.016,Precision 5520 Mobile Workstation
0.97,0.03,Dell G5 15 Gaming Laptop
0.946,0.054,Dell Inspiron 3520 Desktop Computer
0.982,0.018,Dell Inspiron 3520 Desktop Computer
0.95,0.05,Dell Vostro 3000 
0.926,0.074,Dell 24 Touch Monitor
1,0,Dell G5 15 Gaming Laptop
0.936,0.064,Dell G7 15 Gaming Laptop
0.984,0.016,Dell G Series G7 7588 15.6-inch FHD Laptop
0.984,0.016,Dell 24 UltraSharp Monitor
0.936,0.064,Dell Inspiron 3520 Desktop Computer
0.948,0.052,New Inspiron 22 3275 All-in-One
0.974,0.026,Alienware 25 Gaming Monitor
0.998,0.002,New Inspiron 15 5570 Laptop
0.986,0.014,Alienware 25 Gaming Monitor
0.958,0.042,Dell G7 15 Gaming Laptop
0.992,0.008,Dell Inspiron 13 5378 2-in-1 
0.918,0.082,Dell Precision M5510 WorkStation Laptop
0.954,0.046,Dell G3 15 Gaming Laptop
0.916,0.084,Dell Vostro 3000 
0.99,0.01,New Inspiron 15 5570 Laptop
0.968,0.032,Dell G3 15 Gaming Laptop
0.978,0.022,Latitude Dell 5175 Tablet
0.91,0.09,Alienware 25 Gaming Monitor
0.962,0.038,Latitude Dell 5175 Tablet
0.984,0.016,New Inspiron 22 3275 All-in-One
1,0,Dell UltraSharp 27 4K HDR Monitor 
1,0,DELL Inspiron 7570 15.6-inch FHD Laptop
0.998,0.002,Inspiron 27 7000 All-in-One
0.968,0.032,Dell 27 Monitor
0.922,0.078,Dell G Series G7 7588 15.6-inch FHD Laptop
0.998,0.002,Inspiron 27 7000 All-in-One
0.98,0.02,Dell Precision M5510 WorkStation Laptop
0.982,0.018,XPS 13 Laptop
0.992,0.008,Latitude Dell 5175 Tablet
0.984,0.016,Inspiron 27 7000 All-in-One
0.984,0.016,Dell Precision M5510 WorkStation Laptop
0.988,0.012,XPS 13 Laptop
0.998,0.002,Dell G Series G7 7588 15.6-inch FHD Laptop
0.954,0.046,"Dell Alienware 15 15.6"" Gaming Laptop "
0.936,0.064,Dell Venue 7 3741 Tablet 
0.938,0.062,XPS 13 Laptop
0.996,0.004,XPS 13 Laptop
0.924,0.076,Dell Venue 7 3741 Tablet 
0.996,0.004,Alienware 25 Gaming Monitor
0.982,0.018,Dell 27 Monitor
0.988,0.012,Dell Inspiron 3520 Desktop Computer
0.656,0.344,Precision 5520 Mobile Workstation
0.894,0.106,Latitude Dell 5175 Tablet
0.916,0.084,Dell Precision M5510 WorkStation Laptop
0.998,0.002,XPS 8920 Desktop Tower
0.928,0.072,New Inspiron 22 3275 All-in-One
0.96,0.04,Dell Inspiron 13 5378 2-in-1 
0.928,0.072,Dell 24 UltraSharp Monitor
0.988,0.012,Dell Inspiron 13 5378 2-in-1 
0.934,0.066,Dell 27 Monitor
0.96,0.04,Dell Inspiron 3520 Desktop Computer
0.952,0.048,Alienware 25 Gaming Monitor
0.99,0.01,Dell UltraSharp 27 4K HDR Monitor 
0.982,0.018,Alienware 25 Gaming Monitor
0.982,0.018,XPS 13 Laptop
0.972,0.028,Dell 24 UltraSharp Monitor
0.994,0.006,Dell G3 15 Gaming Laptop
0.936,0.064,Latitude Dell 5175 Tablet
0.986,0.014,New Inspiron 22 3275 All-in-One
0.784,0.216,Dell 27 Monitor
0.748,0.252,New Inspiron 22 3275 All-in-One
0.97,0.03,XPS 8920 Desktop Tower
0.944,0.056,Precision 5520 Mobile Workstation
0.97,0.03,XPS 8920 Desktop Tower
0.908,0.092,DELL Inspiron 7570 15.6-inch FHD Laptop
